"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 HA3)","2024-Apr-23 15:11 ± < 00:01","0.13766","0.13759","10.81","10.80","23.2","60 m -  130 m","0"
"(2024 GK2)","2024-Apr-23 17:34 ±    00:01","0.06065","0.06017","8.47","8.47","25.9","18 m -   39 m","0"
"(2023 HO4)","2024-Apr-24 02:36 ±    00:01","0.19197","0.19197","4.45","4.45","23.1","62 m -  140 m","0"
"(2022 UL9)","2024-Apr-24 07:12 ± < 00:01","0.19940","0.19940","12.45","12.45","22.0","110 m -  240 m","0"
"(1994 GL)","2024-Apr-24 09:22 ±    00:01","0.11493","0.11493","13.80","13.80","25.5","21 m -   47 m","0"
"(2024 HD2)","2024-Apr-24 20:41 ±    00:01","0.07087","0.06957","6.66","6.66","25.6","20 m -   45 m","0"
"(2024 JH8)","2024-Apr-25 01:02 ±    00:14","0.14415","0.14344","7.83","7.83","23.8","47 m -  110 m","0"
"(2016 DP2)","2024-Apr-25 06:06 ± 9_01:05","0.11065","0.10581","6.27","6.26","25.9","18 m -   39 m","0"
"(2022 HL1)","2024-Apr-25 07:08 ± < 00:01","0.12456","0.12456","14.07","14.07","25.4","22 m -   50 m","0"
"(2014 UQ56)","2024-Apr-25 08:43 ± < 00:01","0.19607","0.19607","23.40","23.40","19.2","380 m -  860 m","0"
"(2021 VH2)","2024-Apr-25 09:03 ± < 00:01","0.02383","0.02383","2.69","2.65","28.8","4.6 m -   10 m","0"
"(2024 JB7)","2024-Apr-25 09:16 ±    00:03","0.02098","0.02075","10.96","10.94","26.1","16 m -   36 m","0"
"(2024 HY1)","2024-Apr-25 09:55 ± < 00:01","0.00300","0.00299","8.56","8.46","27.4","8.6 m -   19 m","0"
"(2024 JN1)","2024-Apr-25 10:32 ±    00:02","0.02867","0.02834","17.94","17.93","24.1","39 m -   88 m","0"
"(2017 BX)","2024-Apr-25 10:50 ± 1_11:09","0.14529","0.13211","10.54","10.54","28.0","6.7 m -   15 m","0"
"(2024 GZ3)","2024-Apr-25 11:17 ± < 00:01","0.11369","0.11352","15.42","15.42","23.2","60 m -  130 m","0"
"(2024 JU)","2024-Apr-25 18:23 ±    00:26","0.13182","0.12979","3.69","3.68","25.7","19 m -   43 m","0"
"(2011 GF3)","2024-Apr-26 00:07 ± < 00:01","0.16360","0.16360","16.15","16.14","22.4","87 m -  200 m","0"
"(2014 MC6)","2024-Apr-26 00:12 ± < 00:01","0.18463","0.18463","19.41","19.41","19.4","350 m -  780 m","0"
"(2022 HE)","2024-Apr-26 00:50 ± < 00:01","0.06721","0.06721","21.16","21.16","22.2","95 m -  210 m","0"
"(2024 GU2)","2024-Apr-26 01:13 ± < 00:01","0.06989","0.06977","5.93","5.93","25.3","23 m -   51 m","0"
"(2024 FK2)","2024-Apr-26 01:34 ± < 00:01","0.11216","0.11209","12.48","12.47","21.8","120 m -  260 m","0"
"(2024 HL1)","2024-Apr-26 01:40 ± < 00:01","0.00109","0.00109","12.10","11.90","26.0","17 m -   38 m","2"
"(2024 HX1)","2024-Apr-26 02:23 ±    00:02","0.01254","0.01237","16.01","16.00","26.6","13 m -   29 m","0"
"(2024 FG5)","2024-Apr-26 02:44 ± < 00:01","0.03211","0.03206","9.06","9.05","25.0","26 m -   58 m","0"
"(2024 GP6)","2024-Apr-26 04:01 ±    00:01","0.17743","0.17709","11.34","11.33","22.8","74 m -  160 m","0"
"(2013 HM11)","2024-Apr-26 12:09 ± < 00:01","0.15348","0.15348","15.37","15.37","23.2","62 m -  140 m","0"
"(2024 HT1)","2024-Apr-26 12:09 ± < 00:01","0.00240","0.00240","16.38","16.31","24.5","33 m -   74 m","2"
"(2024 HJ)","2024-Apr-26 16:24 ± < 00:01","0.08569","0.08534","26.96","26.96","21.0","170 m -  380 m","0"
"(2018 JP)","2024-Apr-26 17:19 ±    01:16","0.12029","0.11986","9.97","9.97","27.4","8.8 m -   20 m","0"
"(2024 JA1)","2024-Apr-26 20:16 ± < 00:01","0.09754","0.09678","19.00","19.00","23.3","60 m -  130 m","0"
"(2004 SB1)","2024-Apr-26 21:16 ± < 00:01","0.13762","0.13761","14.04","14.04","20.5","210 m -  470 m","0"
"(2024 HT)","2024-Apr-26 21:58 ± < 00:01","0.04433","0.04412","9.44","9.43","25.4","22 m -   49 m","0"
"(2021 EL3)","2024-Apr-27 01:04 ±    04:44","0.17686","0.16632","10.68","10.67","28.8","4.6 m -   10 m","0"
"(2020 GH1)","2024-Apr-27 02:08 ± < 00:01","0.10695","0.10695","7.57","7.57","25.6","20 m -   45 m","0"
"(2019 HJ4)","2024-Apr-27 03:25 ±    14:22","0.14599","0.13264","26.19","26.19","22.6","79 m -  180 m","0"
"(2022 HE3)","2024-Apr-27 04:01 ±    15:10","0.15988","0.14145","16.15","16.15","25.3","23 m -   51 m","0"
"(2024 GR1)","2024-Apr-27 05:19 ± < 00:01","0.05031","0.05026","7.24","7.24","24.1","40 m -   89 m","0"
"(2024 HU1)","2024-Apr-27 06:55 ± < 00:01","0.00545","0.00544","11.01","10.97","26.2","15 m -   34 m","0"
"(2024 HF2)","2024-Apr-27 08:10 ± < 00:01","0.01999","0.01993","8.99","8.98","26.5","13 m -   29 m","0"
"(2024 JH)","2024-Apr-27 10:19 ± < 00:01","0.02952","0.02938","6.56","6.54","25.6","20 m -   44 m","0"
"(2020 TG)","2024-Apr-27 11:32 ±    12:42","0.05721","0.05382","6.77","6.76","25.6","20 m -   45 m","0"
"(2024 HZ1)","2024-Apr-27 11:41 ±    00:03","0.06754","0.06634","6.75","6.74","25.6","20 m -   45 m","0"
"(2024 HG2)","2024-Apr-27 14:04 ±    00:02","0.08171","0.08145","6.89","6.88","24.7","30 m -   67 m","0"
"(2023 XC18)","2024-Apr-27 18:37 ±    01:29","0.13170","0.13158","10.97","10.97","21.5","130 m -  300 m","0"
"(2006 HV50)","2024-Apr-27 19:28 ± 5_04:46","0.07219","0.04749","8.99","8.98","23.6","51 m -  110 m","0"
"(2024 HR1)","2024-Apr-28 01:02 ± < 00:01","0.07408","0.07401","10.69","10.69","23.1","65 m -  140 m","0"
"(2024 JV1)","2024-Apr-28 02:26 ±    00:02","0.05755","0.05678","13.98","13.98","25.5","22 m -   48 m","0"
"(2024 HF1)","2024-Apr-28 03:41 ± < 00:01","0.01291","0.01283","10.93","10.91","25.8","19 m -   41 m","0"
"(2024 JZ8)","2024-Apr-28 03:55 ±    00:02","0.01405","0.01401","5.21","5.18","27.4","9.0 m -   20 m","0"
"(2024 GS4)","2024-Apr-28 07:06 ± < 00:01","0.02702","0.02696","12.79","12.78","25.1","25 m -   56 m","0"
"(2024 JP)","2024-Apr-28 09:07 ± < 00:01","0.01703","0.01700","4.18","4.14","27.2","9.8 m -   22 m","0"
"(2024 JS)","2024-Apr-28 09:15 ±    00:01","0.01262","0.01256","10.32","10.30","27.4","8.8 m -   20 m","0"
"(2024 JH1)","2024-Apr-28 14:33 ± < 00:01","0.02808","0.02798","6.58","6.56","26.5","14 m -   30 m","0"
"(2024 JV)","2024-Apr-29 02:52 ±    00:01","0.00526","0.00524","13.76","13.72","24.6","31 m -   70 m","1"
"(2024 JZ1)","2024-Apr-29 07:32 ±    00:05","0.04372","0.04304","6.08","6.07","26.8","12 m -   26 m","0"
"(2001 QJ142)","2024-Apr-29 08:49 ± < 00:01","0.05294","0.05294","2.22","2.19","24.0","43 m -   95 m","0"
"(2024 GK5)","2024-Apr-29 11:11 ± < 00:01","0.03296","0.03286","5.22","5.21","24.8","29 m -   64 m","0"
"(2024 JE1)","2024-Apr-29 15:13 ±    00:02","0.01699","0.01690","12.41","12.39","26.9","11 m -   25 m","0"
"(2024 HO2)","2024-Apr-29 15:18 ± < 00:01","0.00025","0.00025","9.24","8.00","29.5","3.4 m -  7.6 m","1"
"(2024 JF1)","2024-Apr-29 17:19 ±    00:02","0.01832","0.01822","3.71","3.67","27.9","7.0 m -   16 m","0"
"668779 (2012 HO1)","2024-Apr-30 02:05 ± < 00:01","0.11737","0.11737","5.93","5.92","23.8","47 m -  110 m","0"
"(2021 GD3)","2024-Apr-30 05:31 ± < 00:01","0.02868","0.02868","3.52","3.50","26.9","11 m -   24 m","0"
"(2024 JD2)","2024-Apr-30 11:40 ±    00:08","0.06809","0.06605","10.66","10.66","24.6","32 m -   70 m","0"
"(2015 HK)","2024-Apr-30 13:11 ±    17:45","0.15932","0.11330","12.38","12.38","25.5","21 m -   47 m","0"
"(2024 HQ1)","2024-Apr-30 14:03 ± < 00:01","0.00560","0.00559","5.52","5.43","28.3","5.7 m -   13 m","0"
"(2024 JC)","2024-Apr-30 14:59 ± < 00:01","0.06412","0.06366","16.24","16.23","24.7","31 m -   69 m","0"
"(2024 JT)","2024-Apr-30 17:24 ± < 00:01","0.00738","0.00737","6.55","6.50","28.4","5.7 m -   13 m","0"
"(2024 HZ2)","2024-Apr-30 18:03 ± < 00:01","0.03796","0.03782","13.12","13.11","25.1","25 m -   56 m","0"
"(2024 HX2)","2024-Apr-30 22:08 ±    00:02","0.02836","0.02823","11.76","11.75","26.2","15 m -   34 m","0"
"(2022 TN1)","2024-Apr-30 23:57 ± < 00:01","0.04766","0.04766","17.74","17.73","20.2","240 m -  530 m","1"
"(2024 JO1)","2024-May-01 01:42 ± < 00:01","0.01027","0.01025","6.25","6.20","27.8","7.4 m -   16 m","0"
"(2024 JD7)","2024-May-01 05:27 ± < 00:01","0.02075","0.02050","19.62","19.61","24.8","30 m -   66 m","0"
"(2020 DY1)","2024-May-01 11:19 ± < 00:01","0.06797","0.06797","9.71","9.70","21.9","110 m -  250 m","0"
"(2023 FK)","2024-May-01 19:03 ±    00:10","0.13648","0.13638","8.94","8.94","25.0","26 m -   58 m","0"
"(2024 HK2)","2024-May-01 21:51 ± < 00:01","0.01944","0.01934","18.31","18.30","25.7","19 m -   43 m","0"
"(2024 JJ1)","2024-May-02 03:06 ±    00:02","0.12258","0.12161","11.09","11.09","23.9","43 m -   97 m","0"
"(2021 JD)","2024-May-02 08:42 ± 5_22:22","0.07227","0.03918","3.85","3.84","26.6","13 m -   28 m","0"
"(2020 VA4)","2024-May-02 09:42 ±    00:03","0.10945","0.10945","2.85","2.84","27.4","8.7 m -   19 m","0"
"53550 (2000 BF19)","2024-May-02 13:51 ± < 00:01","0.12611","0.12611","10.22","10.22","19.1","410 m -  920 m","1"
"(2024 JH2)","2024-May-02 20:04 ± < 00:01","0.01486","0.01481","13.19","13.18","24.7","31 m -   69 m","0"
"(2019 GK1)","2024-May-02 22:43 ±    00:04","0.18996","0.17612","10.18","10.18","26.4","14 m -   31 m","0"
"(2019 TK5)","2024-May-02 23:00 ± < 00:01","0.12463","0.12463","9.24","9.23","27.5","8.6 m -   19 m","0"
"(2024 JA2)","2024-May-03 02:17 ± < 00:01","0.00858","0.00855","24.25","24.24","24.1","39 m -   88 m","1"
"(2024 JS1)","2024-May-03 03:37 ± < 00:01","0.05008","0.04954","7.17","7.16","25.5","21 m -   48 m","0"
"(2024 JH3)","2024-May-03 13:37 ± < 00:01","0.00268","0.00267","9.43","9.32","28.8","4.7 m -   10 m","0"
"(2022 AA5)","2024-May-03 13:55 ± < 00:01","0.03457","0.03457","9.04","9.03","23.6","51 m -  110 m","0"
"(2020 JG)","2024-May-03 19:38 ±    03:48","0.13542","0.13098","17.09","17.09","25.8","18 m -   41 m","0"
"(2024 JM8)","2024-May-04 01:53 ±    00:06","0.14965","0.14814","12.84","12.84","24.3","36 m -   81 m","0"
"(2024 JM2)","2024-May-04 03:23 ± < 00:01","0.01776","0.01771","11.78","11.77","23.8","47 m -  100 m","1"
"(2024 HS1)","2024-May-04 06:28 ± < 00:01","0.11465","0.11364","15.21","15.21","24.0","41 m -   92 m","0"
"(2024 JM3)","2024-May-04 08:08 ± < 00:01","0.05489","0.05465","11.99","11.98","25.1","26 m -   58 m","0"
"(2022 YL)","2024-May-04 11:20 ±    14:48","0.14547","0.14535","4.94","4.94","26.5","13 m -   29 m","0"
"(2024 JE)","2024-May-04 15:12 ± < 00:01","0.03540","0.03524","7.75","7.74","24.4","35 m -   78 m","0"
"(2020 HF5)","2024-May-04 15:31 ±    17:44","0.12733","0.11762","9.79","9.79","26.7","12 m -   27 m","0"
"(2024 HK1)","2024-May-04 19:45 ± < 00:01","0.00461","0.00461","8.65","8.58","25.5","22 m -   48 m","1"
"(2024 GZ2)","2024-May-05 00:23 ± < 00:01","0.08907","0.08897","9.24","9.23","24.2","39 m -   87 m","0"
"(2022 VE)","2024-May-05 03:59 ± 1_11:59","0.12971","0.12454","6.74","6.74","25.3","23 m -   51 m","0"
"(2022 OC3)","2024-May-05 04:28 ±    04:57","0.13599","0.13579","3.54","3.53","28.4","5.6 m -   13 m","0"
"(2024 JY)","2024-May-05 07:46 ± < 00:01","0.01217","0.01212","28.86","28.85","25.4","22 m -   50 m","0"
"(2024 HV1)","2024-May-05 08:37 ± < 00:01","0.00862","0.00862","8.82","8.79","26.1","16 m -   35 m","0"
"(2014 HC177)","2024-May-05 11:29 ± < 00:01","0.15523","0.15523","13.10","13.10","25.1","25 m -   57 m","0"
"(2008 WB59)","2024-May-05 16:30 ± < 00:01","0.19770","0.19770","15.86","15.86","19.3","0.407±0.067 km","0"
"(2024 JN8)","2024-May-05 18:32 ± < 00:01","0.01492","0.01486","14.50","14.49","26.2","15 m -   34 m","0"
"(2024 HW1)","2024-May-05 18:56 ± < 00:01","0.01274","0.01271","11.03","11.01","26.4","14 m -   32 m","0"
"(2024 FR5)","2024-May-05 21:34 ± < 00:01","0.01263","0.01263","5.19","5.15","24.3","36 m -   81 m","1"
"(2024 JY2)","2024-May-06 04:37 ±    00:03","0.10643","0.10594","6.27","6.27","25.0","26 m -   59 m","0"
"(2024 KD1)","2024-May-06 06:51 ±    00:01","0.14683","0.14653","10.15","10.15","23.3","58 m -  130 m","0"
"(2024 HL2)","2024-May-06 08:12 ± < 00:01","0.01943","0.01938","13.40","13.39","25.7","19 m -   42 m","0"
"612970 (2005 HN3)","2024-May-06 09:15 ± < 00:01","0.11278","0.11278","7.54","7.53","21.2","160 m -  350 m","0"
"(2024 JQ)","2024-May-06 11:24 ± < 00:01","0.05633","0.05617","5.55","5.55","25.2","24 m -   54 m","0"
"(2023 BW)","2024-May-06 12:04 ±    00:04","0.17956","0.17953","8.84","8.84","24.5","34 m -   76 m","0"
"(2020 WN5)","2024-May-06 14:45 ± 4_12:27","0.11458","0.02246","14.97","14.97","28.0","6.8 m -   15 m","0"
"(2024 HM2)","2024-May-06 14:49 ± < 00:01","0.04444","0.04413","25.03","25.03","24.2","38 m -   86 m","0"
"(2024 HE2)","2024-May-06 20:16 ± < 00:01","0.00806","0.00805","12.07","12.05","26.1","16 m -   36 m","0"
"(2024 JQ2)","2024-May-06 20:37 ±    00:01","0.06389","0.06305","13.35","13.35","24.8","29 m -   66 m","0"
"(2024 JP3)","2024-May-06 21:21 ±    00:02","0.03204","0.03185","6.86","6.85","27.4","8.8 m -   20 m","0"
"(2024 JF)","2024-May-06 21:58 ± < 00:01","0.00318","0.00317","11.69","11.62","28.5","5.4 m -   12 m","0"
"(2023 JL1)","2024-May-06 22:08 ±    07:54","0.14923","0.14731","5.46","5.46","27.3","9.3 m -   21 m","0"
"(2023 VH)","2024-May-06 22:57 ± < 00:01","0.16267","0.16266","15.28","15.28","22.7","76 m -  170 m","0"
"(2024 JR1)","2024-May-07 00:02 ± < 00:01","0.00198","0.00197","13.04","12.94","27.7","7.5 m -   17 m","0"
"(2024 JO2)","2024-May-07 04:13 ± < 00:01","0.00435","0.00434","14.38","14.34","28.0","6.7 m -   15 m","0"
"(2024 FY3)","2024-May-07 05:04 ±    00:06","0.10891","0.10834","9.15","9.15","23.6","51 m -  110 m","0"
"(2024 JX6)","2024-May-07 06:13 ±    00:12","0.14893","0.14685","11.56","11.56","24.7","31 m -   69 m","0"
"(2024 JE6)","2024-May-07 17:56 ± < 00:01","0.08193","0.08125","14.40","14.40","25.1","25 m -   56 m","0"
"(2016 JE6)","2024-May-07 19:43 ± 2_03:27","0.16093","0.10406","18.81","18.81","24.3","37 m -   83 m","0"
"(2024 GR2)","2024-May-08 04:16 ± < 00:01","0.12288","0.12279","17.53","17.53","22.0","110 m -  240 m","0"
"(2024 HC2)","2024-May-08 05:24 ±    00:03","0.14935","0.14840","13.93","13.93","22.9","68 m -  150 m","0"
"(2024 JO10)","2024-May-08 05:32 ± < 00:01","0.02099","0.02095","12.43","12.42","25.1","26 m -   57 m","0"
"(2024 JX1)","2024-May-08 06:31 ± < 00:01","0.01282","0.01278","20.05","20.04","26.2","15 m -   34 m","0"
"(2022 KP6)","2024-May-08 06:50 ± 1_07:36","0.09334","0.08210","9.52","9.51","29.4","3.5 m -  7.8 m","0"
"(2024 JA15)","2024-May-08 08:05 ± < 00:01","0.00688","0.00686","14.81","14.78","25.0","26 m -   59 m","1"
"(2024 HB1)","2024-May-08 09:10 ±    00:05","0.10407","0.10365","5.72","5.71","24.9","28 m -   62 m","0"
"(2021 TK13)","2024-May-08 12:40 ± < 00:01","0.17825","0.17825","6.22","6.22","25.4","22 m -   49 m","0"
"(2024 JD)","2024-May-08 13:31 ± < 00:01","0.00184","0.00184","3.30","2.83","27.6","8.0 m -   18 m","0"
"(2024 JG1)","2024-May-08 14:55 ± < 00:01","0.02683","0.02669","12.31","12.30","25.9","18 m -   40 m","0"
"(2018 SF3)","2024-May-08 15:18 ±    00:01","0.15819","0.15818","8.48","8.48","25.3","23 m -   52 m","0"
"(2024 JL3)","2024-May-08 15:36 ± < 00:01","0.00252","0.00251","18.49","18.43","26.4","14 m -   31 m","1"
"(2020 HJ6)","2024-May-08 19:30 ±    02:38","0.08306","0.08232","14.12","14.12","26.7","12 m -   27 m","0"
"(2019 NL6)","2024-May-08 23:54 ±    00:01","0.19577","0.19577","9.94","9.94","22.2","98 m -  220 m","0"
"(2024 HE5)","2024-May-09 02:21 ±    00:01","0.13915","0.13911","4.14","4.14","24.0","43 m -   95 m","0"
"387816 (2004 FM17)","2024-May-09 02:55 ± < 00:01","0.14398","0.14398","9.68","9.68","19.4","360 m -  800 m","0"
"(2024 JM1)","2024-May-09 04:35 ± < 00:01","0.02803","0.02793","10.36","10.35","25.7","20 m -   44 m","0"
"(2024 JX8)","2024-May-09 05:31 ±    00:02","0.02105","0.02095","7.12","7.10","27.1","10 m -   22 m","0"
"(2024 JU14)","2024-May-09 05:33 ± < 00:01","0.03065","0.03053","13.47","13.46","25.7","20 m -   44 m","0"
"(2024 JZ)","2024-May-09 08:11 ± < 00:01","0.02815","0.02786","25.14","25.13","23.5","53 m -  120 m","0"
"(2024 JT3)","2024-May-09 09:36 ± < 00:01","0.00017","0.00017","10.88","9.35","29.1","4.0 m -  8.9 m","1"
"(2012 VM6)","2024-May-09 10:41 ± < 00:01","0.17891","0.17891","3.63","3.62","25.3","23 m -   52 m","0"
"(2024 JN3)","2024-May-09 12:50 ± < 00:01","0.00201","0.00201","13.02","12.92","26.9","11 m -   24 m","1"
"(2024 GN5)","2024-May-09 12:52 ±    00:02","0.07026","0.07002","4.31","4.30","25.2","24 m -   53 m","0"
"(2024 JE15)","2024-May-09 13:14 ± < 00:01","0.00974","0.00972","7.52","7.49","26.8","12 m -   26 m","0"
"(2020 YN)","2024-May-09 14:54 ± 3_23:00","0.19289","0.12306","21.19","21.19","27.7","7.7 m -   17 m","0"
"(2024 JR3)","2024-May-09 18:06 ± < 00:01","0.00610","0.00609","19.13","19.10","26.4","14 m -   31 m","0"
"(2014 KX21)","2024-May-09 20:36 ± < 00:01","0.06784","0.06784","6.80","6.80","25.5","21 m -   47 m","0"
"(2024 KB)","2024-May-10 00:54 ± < 00:01","0.09323","0.09261","27.91","27.91","22.9","68 m -  150 m","0"
"(2024 JF8)","2024-May-10 01:34 ±    00:01","0.04402","0.04350","8.33","8.32","25.9","17 m -   38 m","0"
"(2024 JJ17)","2024-May-10 06:32 ± < 00:01","0.00798","0.00797","5.06","4.99","27.9","7.0 m -   16 m","0"
"(2021 JG9)","2024-May-10 11:13 ± 4_09:16","0.04339","0.00074","16.13","16.12","25.2","24 m -   54 m","0"
"(2016 FT14)","2024-May-10 13:55 ± < 00:01","0.05103","0.05103","5.91","5.90","24.7","31 m -   69 m","0"
"(2024 JK1)","2024-May-10 18:18 ± < 00:01","0.01768","0.01761","9.65","9.64","26.4","14 m -   31 m","0"
"482049 (2009 XG8)","2024-May-10 19:19 ± < 00:01","0.16966","0.16966","29.57","29.57","18.8","460 m -  1.0 km","0"
"(2024 JF17)","2024-May-10 19:20 ± < 00:01","0.03412","0.03396","16.08","16.07","24.3","38 m -   84 m","0"
"(2024 JB9)","2024-May-10 20:41 ± < 00:01","0.02890","0.02880","8.04","8.03","26.4","14 m -   31 m","0"
"(2024 JV6)","2024-May-10 23:42 ± < 00:01","0.00398","0.00397","9.42","9.35","28.2","6.1 m -   14 m","0"
"(2024 FJ2)","2024-May-11 02:21 ± < 00:01","0.16164","0.16158","15.33","15.33","20.9","180 m -  390 m","0"
"(2024 JT11)","2024-May-11 07:51 ± < 00:01","0.02394","0.02387","7.70","7.69","26.2","15 m -   34 m","0"
"(2024 JK17)","2024-May-11 10:30 ± < 00:01","0.03201","0.03189","14.01","14.00","24.7","31 m -   69 m","0"
"(2020 HG9)","2024-May-11 10:56 ± < 00:01","0.12712","0.12712","8.85","8.85","23.4","56 m -  130 m","0"
"(2021 JX3)","2024-May-11 12:49 ±    01:58","0.06800","0.06434","15.80","15.79","25.3","23 m -   51 m","0"
"(2024 JK15)","2024-May-11 16:12 ± < 00:01","0.00892","0.00889","22.03","22.01","26.1","16 m -   37 m","0"
"(2021 JW)","2024-May-12 00:08 ± 8_14:31","0.17154","0.01294","24.16","24.16","27.6","8.0 m -   18 m","0"
"(2022 TH3)","2024-May-12 00:22 ±    00:42","0.19211","0.19201","10.21","10.21","22.8","74 m -  170 m","0"
"(2024 KD2)","2024-May-12 09:31 ±    00:18","0.04422","0.04406","22.32","22.32","23.0","67 m -  150 m","0"
"(2024 HF)","2024-May-12 09:35 ±    00:05","0.19714","0.19694","5.67","5.67","23.7","49 m -  110 m","0"
"(2024 JN)","2024-May-12 15:33 ± < 00:01","0.01129","0.01127","3.26","3.18","28.3","5.9 m -   13 m","0"
"(2024 JL8)","2024-May-12 16:23 ±    00:06","0.09051","0.08580","15.56","15.56","24.7","30 m -   68 m","0"
"(2024 GH9)","2024-May-12 16:49 ± < 00:01","0.11167","0.11161","16.22","16.22","22.9","70 m -  160 m","0"
"(2024 KC2)","2024-May-12 23:21 ±    00:26","0.13390","0.13346","4.81","4.80","24.1","40 m -   90 m","0"
"(2024 JB2)","2024-May-13 04:53 ± < 00:01","0.02966","0.02948","17.71","17.71","23.4","55 m -  120 m","1"
"(2024 JQ12)","2024-May-13 11:22 ± < 00:01","0.01196","0.01195","2.96","2.88","28.5","5.3 m -   12 m","0"
"(2022 JQ1)","2024-May-13 20:41 ± < 00:01","0.17422","0.17422","7.80","7.80","26.2","15 m -   34 m","0"
"(2014 QP363)","2024-May-13 21:16 ± < 00:01","0.19389","0.19389","17.66","17.66","20.9","170 m -  390 m","0"
"(2024 JP16)","2024-May-13 21:28 ±    00:03","0.03158","0.03138","5.38","5.37","26.4","14 m -   31 m","0"
"(2024 JO3)","2024-May-13 22:27 ±    00:02","0.06046","0.05989","9.26","9.25","24.8","29 m -   65 m","0"
"(2024 JP10)","2024-May-13 23:12 ± < 00:01","0.04812","0.04787","25.33","25.32","23.6","51 m -  110 m","0"
"(2024 HE3)","2024-May-14 00:21 ±    00:02","0.11336","0.11317","4.07","4.06","24.9","28 m -   62 m","0"
"(2024 KA)","2024-May-14 00:28 ± < 00:01","0.03804","0.03769","19.79","19.79","25.2","25 m -   55 m","0"
"(2015 KJ19)","2024-May-14 02:43 ± < 00:01","0.04039","0.04039","23.10","23.10","22.5","84 m -  190 m","1"
"(2024 KB2)","2024-May-14 06:20 ±    00:10","0.05379","0.05363","16.06","16.06","23.5","52 m -  120 m","0"
"(2014 WF6)","2024-May-14 09:42 ± < 00:01","0.01832","0.01832","18.92","18.92","24.4","35 m -   78 m","0"
"(2024 JN16)","2024-May-14 09:49 ± < 00:01","0.00017","0.00017","9.26","7.34","29.6","3.2 m -  7.2 m","1"
"(2024 JJ8)","2024-May-14 14:07 ±    00:05","0.15258","0.15235","5.16","5.15","24.5","33 m -   74 m","0"
"(2024 JW6)","2024-May-14 17:18 ± < 00:01","0.01455","0.01451","8.58","8.56","26.7","12 m -   28 m","0"
"(2024 JD15)","2024-May-14 22:01 ± < 00:01","0.01128","0.01123","19.50","19.48","26.9","11 m -   25 m","0"
"(2024 JZ16)","2024-May-14 23:16 ± < 00:01","0.06981","0.06889","23.28","23.28","23.8","47 m -  110 m","0"
"(2024 LU2)","2024-May-15 00:55 ±    00:06","0.06953","0.06847","14.97","14.97","24.8","29 m -   65 m","0"
"(2024 JY16)","2024-May-15 01:10 ± < 00:01","0.00225","0.00225","16.81","16.74","25.1","26 m -   58 m","2"
"(2021 JN10)","2024-May-15 05:30 ± < 00:01","0.03775","0.03775","13.42","13.41","25.1","25 m -   56 m","0"
"(2024 JH15)","2024-May-15 07:39 ± < 00:01","0.00356","0.00355","14.13","14.08","27.3","9.0 m -   20 m","0"
"(2021 JJ)","2024-May-15 12:31 ± < 00:01","0.04294","0.04293","5.73","5.72","25.5","21 m -   47 m","0"
"(2024 JB17)","2024-May-15 12:55 ±    00:01","0.13358","0.13324","9.16","9.15","22.3","94 m -  210 m","0"
"(2024 JB29)","2024-May-15 13:27 ±    00:08","0.13599","0.13555","2.05","2.04","25.8","19 m -   42 m","0"
"(2024 JP17)","2024-May-15 13:33 ± < 00:01","0.01386","0.01382","10.42","10.40","26.8","12 m -   26 m","0"
"(2024 HA2)","2024-May-15 14:11 ± < 00:01","0.08749","0.08747","5.99","5.99","24.4","35 m -   79 m","0"
"(2017 FS101)","2024-May-15 14:59 ± < 00:01","0.12416","0.12416","8.21","8.21","24.0","42 m -   94 m","0"
"(2024 JS17)","2024-May-15 20:30 ± < 00:01","0.01978","0.01966","11.14","11.12","26.0","17 m -   37 m","0"
"86667 (2000 FO10)","2024-May-15 21:29 ± < 00:01","0.19744","0.19744","14.76","14.76","17.5","0.745±0.023 km","1"
"679756 (2020 KP1)","2024-May-15 22:39 ± < 00:01","0.12214","0.12214","16.81","16.81","23.1","63 m -  140 m","0"
"(2024 HS2)","2024-May-16 00:35 ± < 00:01","0.08678","0.08665","7.57","7.57","23.8","46 m -  100 m","0"
"(2024 JQ16)","2024-May-16 06:25 ± < 00:01","0.01796","0.01789","6.13","6.11","26.9","11 m -   25 m","0"
"(2024 KG)","2024-May-16 11:51 ±    00:01","0.04580","0.04571","17.32","17.32","22.4","89 m -  200 m","0"
"(2017 HP3)","2024-May-16 17:26 ± < 00:01","0.05983","0.05983","15.80","15.80","21.5","130 m -  300 m","0"
"(2024 JW16)","2024-May-16 20:37 ± < 00:01","0.08339","0.08114","26.05","26.05","20.9","180 m -  390 m","0"
"(2019 YS3)","2024-May-17 02:36 ± 1_14:45","0.19453","0.19235","6.02","6.01","24.6","32 m -   70 m","0"
"(2011 HO5)","2024-May-17 03:18 ± < 00:01","0.07773","0.07773","6.46","6.46","24.2","38 m -   85 m","0"
"(2024 JG17)","2024-May-17 03:47 ± < 00:01","0.01224","0.01220","7.90","7.88","27.4","8.7 m -   20 m","0"
"(2024 JT17)","2024-May-17 05:21 ± < 00:01","0.02457","0.02447","7.58","7.57","25.9","17 m -   39 m","0"
"(2024 JG6)","2024-May-17 06:26 ± < 00:01","0.02873","0.02866","7.41","7.40","26.4","14 m -   31 m","0"
